lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
53.0094,70.196,11909,lightblue,Шортан көлі – Щучинск қ.,2026-03-25,Мәні,NA,963,,NA,565 537,level
49.6713,83.8308,11910,lightblue,Бұқтырма су қоймасы – Заводинка ауылы,2026-03-25,Мәні,NA,518,,NA,NA 565,level
49.6122,83.5024,11911,lightblue,Бұқтырма су қоймасы – Селезневка ауылы,2026-03-25,Мәні,NA,524,,0,565 705,level
52.1484,72.7424,11915,lightblue,Селетинское су қоймасы – жоғарғы бьеф (Сілеті ауылы),2026-03-25,Мәні,NA,276,,NA,565 691,level
54.0003,68.4028,11916,orange,Ү. Тарангүл көлі - Корнеевка а.,2026-03-25,Мәні,365,332,,NA,565,level
53.0849,70.2998,11917,lightblue,Бурабай көлі – Боровое ауылы,2026-03-25,Мәні,NA,866,,NA,565,level
53.1279,70.2772,11918,lightblue,Үлкен Шабақты көлі – Боровое ауылы,2026-03-25,Мәні,NA,931,,NA,565,level
53.3004,69.3803,11919,lightblue,Копа көлі – Көкшетау қ.,2026-03-25,Мәні,NA,408,,NA,565 537,level
50.7821,75.7001,11935,lightblue,Сабындыкөл көлі – Баянауыл п.,2026-03-25,Мәні,NA,331,,NA,565,level
53.3289,65.5654,11961,lightblue,Сарыкөл көлі – Ермаковка ауылы,2026-03-25,Мәні,NA,885,,NA,665,level
54.0358,65.3441,11964,lightblue,Балықты көлі – Ұзынкөл ауылы,2026-03-25,Мәні,NA,786,,NA,565,level
51.005,72.254,11966,lightblue,Астана су қоймасы – Михайловка ауылы,2026-03-25,Мәні,NA,794,,NA,565,level
50.9917,72.1178,11974,lightblue,Астана су қоймасы – Арнасай ауылы,2026-03-25,Мәні,NA,404,,NA,565,level
51.4393,61.3439,12001,lightblue,Тобыл өзені - Аққарға ауылы,2026-03-25,Мәні,400,168,,NA,565 537,level
52.3903,61.7025,12002,lightblue,Тобыл өзені – Гришенка ауылы,2026-03-25,Мәні,650,165,0.858,NA,565,level
51.9242,61.5313,12004,lightblue,Тобыл өзені – Приречное ауылы,2026-03-25,Мәні,980,624,,NA,665,level
53.2084,63.6496,12008,lightblue,Тобыл өзені – Қостанай қ.,2026-03-25,Мәні,600,328,5.2,NA,565,level
53.8099,63.7891,12015,lightblue,Тобыл өзені – Молодежное ауылы,2026-03-25,Мәні,1035,67,NA,NA,565,level
54.0031,63.7895,12016,lightblue,Тобыл өзені – Введенка ауылы,2026-03-25,Мәні,1025,475,,NA,565,level
52.63444,62.71194,12017,lightblue,Тобыл ө. – Новоильиновка а.,2026-03-25,Мәні,NA,NA,NA,NA,NA,level
52.1694,61.1927,12024,lightblue,Шортанды өзені – Жітіқара қ.,2026-03-25,Мәні,1015,837,,NA,665,level
53.5892,61.6797,12025,lightblue,Тоғызақ өзені - Михайловка ауылы,2026-03-25,Мәні,1000,64,NA,NA,564,level
52.3779,61.1074,12029,lightblue,Желқуар өзені - Чайковское ауылы,2026-03-25,Мәні,550,293,0.55,NA,565,level
52.9666,62.1859,12032,lightblue,Аят өзені - Варваринка ауылы,2026-03-25,Мәні,600,137,1.5,NA,564 565,level
53.8002,62.1854,12072,lightblue,Тоғызақ өзені - Тоғызақ станциясы,2026-03-25,Мәні,750,201,2.03,NA,565 564,level
53.9175,64.7593,12075,lightblue,Убаган өзені - Ақсуат ауылы,2026-03-25,Мәні,800,285,NA,0,565,level
52.7841,65.1662,12088,lightblue,Құндызды өзені – Новоселевка ауылы,2026-03-25,Мәні,900,572,,0,565,level
52.9159,61.5457,12564,lightblue,Камысты-Аят өзені - Свердловка ауылы,2026-03-25,Мәні,505,56,0.4,NA,565,level
54.2006,63.4688,12701,lightblue,Ұй өзені - Ұй ауылы,2026-03-25,Мәні,800,312,4.64,NA,542 537,level
49.3548,63.0886,13002,lightblue,Торғай өзені – Түсім Құмдары,2026-03-25,Мәні,1658,714,NA,NA,565 537,level
50.1073,65.3162,13005,lightblue,Қараторғай өзені – Үрпек ауылы (Ақөткел),2026-03-25,Мәні,960,581,NA,NA,565,level
50.4308,65.6407,13006,lightblue,Жалдама өзені – Амантоғай ауылы,2026-03-25,Мәні,1018,565,,0,665,level
49.8466,64.2906,13029,lightblue,Қабырға өзені – Қалқамыш ауылы,2026-03-25,Мәні,1020,721,,NA,565,level
50.4793,64.2648,13031,lightblue,Сарыөзен өзені – Саға ауылы,2026-03-25,Мәні,1300,779,NA,NA,565,level
49.9394,60.1294,13035,lightblue,Ырғыз өзені – Қарабұтақ ауылы,2026-03-25,Мәні,600,179,,0,537,level
48.7145,60.2965,13038,lightblue,Ырғыз өзені – Шеңбертал ауылы,2026-03-25,Мәні,1050,556,NA,0,537 545,level
48.3854,67.8485,13048,lightblue,Қаракеңгір өзені – Малшыбай ауылы,2026-03-25,Мәні,490,244,NA,NA,565,level
48.8703,68.0532,13052,lightblue,Сарыкеңгір өзені – Алғабас ауылы (Бетбұлақ),2026-03-25,Мәні,350,137,NA,NA,537 538,level
48.0584,67.0602,13053,lightblue,Жезді өзені – Жезді ауылы,2026-03-25,Мәні,240,92,2.54,NA,513,level
49.1875,75.2138,13056,lightblue,Жарлы өзені – Жарлы ауылы (Нұркен),2026-03-25,Мәні,298,115,0.19,NA,565,level
49.3427,74.4689,13061,lightblue,Нұра өзені – Бес-Оба ауылы,2026-03-25,Мәні,470,267,2.19,0,538,level
49.9692,74.0529,13064,lightblue,Нұра өзені – Шешенқара ауылы,2026-03-25,Мәні,626,401,2.31,0.4,563 563,level
50.0827,73.5078,13065,lightblue,Нұра өзені – Петровка ауылы,2026-03-25,Мәні,711,236,24.2,NA,542,level
50.083,73.2315,13066,lightblue,Нұра өзені – Балықты т.ж.в. (Сергиопольское ауылы),2026-03-25,Мәні,700,213,3.33,NA,563,level
50.05667,73.91222,13071,lightblue,Шиілі ө. – Шайлы а. (Шиілі),2026-03-25,Мәні,416,169,NA,NA,537,level
50.1075,73.15528,13073,lightblue,Нұра ө. – Ғабиден Мұстафин к. (Тоқаревка),2026-03-25,Мәні,313,72,NA,NA,565,level
