lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
49.21806,73.39222,13075,lightblue,Қызылқой ө. – Қызылқой к.,2026-03-25,Мәні,256,72,NA,NA,537,level
50.8288,71.3352,13076,lightblue,Нұра өзені – Қошқарбаева ауылы,2026-03-25,Мәні,800,147,3.04,NA,565,level
50.5936,70.0068,13077,lightblue,Нұра өзені – Қорғалжын ауылы,2026-03-25,Мәні,900,419,2.03,NA,565,level
50.9567,70.8666,13078,lightblue,Нұра өзені – Бірлік ауылы,2026-03-25,Мәні,1220,741,NA,NA,565 665,level
49.21667,66.66167,13079,lightblue,Қараторғай ө. – Қорғасын а.,2026-03-25,Мәні,490,160,NA,NA,537,level
49.94447,72.53364,13081,lightblue,Нұра ө. – Жаңаталап а. (Молодецкое),2026-03-25,Мәні,NA,203,NA,NA,537,level
50.14873,72.77191,13082,lightblue,Ошағанды ө. – Андренниково а.,2026-03-25,Мәні,NA,NA,NA,NA,575,level
49.9376,73.2721,13084,lightblue,Көкпекті өзені – Көкпекті ауылы,2026-03-25,Мәні,350,47,NA,NA,537,level
48.7687,73.6898,13085,lightblue,Шерубай-Нұра өзені – Ақсу Аюлы ауылы,2026-03-25,Мәні,310,75,NA,NA,565,level
49.7006,74.6701,13087,lightblue,Матақ өзені – Матақ ауылы,2026-03-25,Мәні,435,234,NA,NA,537 547,level
49.114,73.4688,13090,lightblue,Шерубай-Нұра өзені – Шопан ауылы,2026-03-25,Мәні,450,150,0.363,0.2,513,level
49.2446,71.9748,13091,lightblue,Шерубай-Нұра өзені – Қарамұрын өткелі,2026-03-25,Мәні,420,110,1.3,0,513,level
49.0994,75.8625,13105,lightblue,Талды өзені – Новостройка ауылы,2026-03-25,Мәні,555,NA,NA,NA,575,level
48.5525,70.436,13115,lightblue,Сарысу өзені – 189 км өткелі,2026-03-25,Мәні,390,230,34.8,0.2,538,level
48.3059,69.6304,13116,lightblue,Сарысу өзені – Қызылжар т.ж.в.,2026-03-25,Мәні,460,129,0.735,0.2,540,level
48.6684,71.6405,13128,lightblue,Жаман Сарысу өзені – Атасу ауылы,2026-03-25,Мәні,350,164,NA,NA,565 565,level
49.6993,73.3008,13142,lightblue,Соқыр өзені – Қаражар ауылы,2026-03-25,Мәні,370,270,4.73,NA,537,level
50.2554,71.5658,13148,lightblue,Үлкен Құндызды өзені – Киевка ауылы,2026-03-25,Мәні,450,NA,NA,0,575,level
49.7033,73.3187,13150,lightblue,Соқыр өзені – Құрылыс ауылы,2026-03-25,Мәні,400,105,0.03,NA,537,level
48.91,73.3324,13152,lightblue,Қарамыс өзені – Қарамыс ауылы,2026-03-25,Мәні,300,NA,NA,NA,575,level
49.4212,72.9103,13153,lightblue,Топар өзені – Құлайғыр ауылы,2026-03-25,Мәні,414,123,5.02,NA,565 665,level
49.06535,73.54649,13154,lightblue,Талды ө. – Қошқарбай а.,2026-03-25,Мәні,NA,NA,NA,NA,575,level
48.15972,67.51444,13170,lightblue,Жыланды ө. – Сәтпаев а. (бұрынғы Северный),2026-03-25,Мәні,409,116,NA,NA,600,level
48.95417,62.00917,13172,lightblue,Өлкейек ө. – Дүкен а.,2026-03-25,Мәні,850,52,NA,NA,539 545,level
50.78194,65.06972,13173,lightblue,Сарыөзен ө. – Степняк а.,2026-03-25,Мәні,NA,104,NA,NA,565,level
48.24694,62.0675,13181,lightblue,Торғай ө. – Құйылыс а.,2026-03-25,Мәні,750,198,NA,NA,546,level
